,1,6,cid,name
3721,C32822,"T.R.R.Government Degree College,Kandukur",C32822,T.R.R. Govt. Degree College
3722,C32824,S.V. Arts & Science College,C32824,S.V. Arts & Science College
3723,C32829,Mahatma Gandhi College,C32829,Mahatma Gandhi College
3724,C32831,Madhubala Institute of Communication and Electronic Media,C32831,Madhu Bala Institute of Communication & Electronic Media
3725,C32832,Chanderprabhu Jain College of Higher Studies & School of Law,C32832,Chandra Prabhu Jain College of Higher Studies
3726,C32835,"Dr. B. R. Sur Homoeopathic Medical College, Hospital and Research Centre",C32835,Dr. B.R. Sur Homeopathic Medical College and Hospital and Research Centre
3727,C32836,IITM Janakpuri Delhi | Institute of Innovation in Technology & Management (IITM),C32836,Institute of Innovation in Technology & Management
3728,C32837,IITM Janakpuri | Institute of Information Technology & Management,C32837,Institute of Information Technology & Management
3729,C32838,Lok Nayak Jayaprakash Narayan National Institute of Criminology & Forensic Science,C32838,Lok Nayak Jayaprakash Narayan National Institute of Criminology and Forensic Science
3730,C32839,St Stephen's College,C32839,St . Stephen's College of Nursing
3731,C32840,Kamal Institute of Higher Education And Advance Technology,C32840,Kamal Institute of Higher Education & Advance Technology
3732,C32841,Trinity Institute of Professional Studies,C32841,Trinity Institute of Professional Studies
3733,C32842,Northern India Engineering College,C32842,Northern India Engineering College
3734,C32843,Amity Institute of Education,C32843,Amity Institute of Education
3735,C32845,Rukmini Devi Institute of Advanced Studies,C32845,Rukmini Devi Institute of Advanced Studies
3736,C32846,HMR Institute of Technology and Management,C32846,HMR Institute of Technology & Management
3737,C32847,Maharaja Surajmal Group of Institutions,C32847,Maharaja Surajmal Institute
3738,C32849,R. C. Institute of Technology,C32849,R.C. Institute of Technology
3739,C32850,Delhi Institute of Advanced Studies - DIAS,C32850,Delhi Institute of Advanced Studies
3740,C32852,"Guru Nanak Institute of Management, Best PGDM College in delhi",C32852,Guru Nanak Institute of Management
3741,C32853,Delhi Institute of Heritage Research and Management,C32853,Delhi Institute of Heritage Research & Management
3742,C32857,Army College of Medical Sciences,C32857,Army College of Medical Science
3743,C32858,Lingaya's Lalita Devi Institute of Management & Sciences,C32858,Lingaya's Lalita Devi Institute of Management & Sciences
3744,C32859,Delhi Institute Of Rural Development- DIRD,C32859,Delhi Institute of Rural Development
3745,C32859,Delhi Institute of Rural Development,C32859,Delhi Institute of Rural Development
3746,C32860,Maharaja Agrasen Institute of Management Studies,C32860,Maharaja Agrasen Institute of Management Studies
3747,C32861,Maharaja Surajmal Group of Institutions,C32861,Maharaja Surajmal Institute of Technology
3748,C32863,Bharati Vidyapeeth's College of Engineering,C32863,Bharati Vidyapeeth's College of Engineering
3749,C32870,Maharaja Agrasen Institute Of Technology,C32870,Maharaja Agrasen Institute of Technology
3750,C32871,AMITY SCHOOL OF ENGINEERING AND TECHNOLOGY,C32871,Amity School of Engineering & Technology
3751,C32872,JIMS,C32872,"Jagannath International Management School,Vasant Kunj"
3752,C32873,Lal Bahadur Shastri Institute of Management,C32873,Lal Bahadur Shastri Institute of Management
3753,C32875,Tecnia Institute Of Advanced Studies,C32875,Tecnia Institute of Advanced Studies
3754,C32876,College Of Vocational Studies,C32876,Institute of Vocational Studies
3755,C32877,Dr. Ram Manohar Lohia Hospital,C32877,Dr. Ram Manohar Lohia Hospital(PGIMER)
