"""Samaj Karya Parangat-Samaj Karya Parangat""","""Samaj Karya Parangat-Samaj Karya Parangat""","""Samaj Karya Parangat""","""Samaj Karya Parangat""","""Samaj Karya Parangat"""
"""B.Plan.-Bachelor of Planning""","""B.Plan.-Bachelor of Planning""","""B.Plan.""","""Bachelor of Planning""","""BPlan"""
"""M.Stat. -Master of Statistics""","""M.Stat. -Master of Statistics""","""M.Stat. ""","""Master of Statistics""","""MStat """
"""B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences""","""B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences""","""B.N.Y.S.""","""Bachelor of Naturopathy and Yogic Sciences""","""BNYS"""
"""D.Sc.-Doctor of Science""","""D.Sc.-Doctor of Science""","""D.Sc.""","""Doctor of Science""","""DSc"""
"""M.F.M.-Master of Fashion Management""","""M.F.M.-Master of Fashion Management""","""M.F.M.""","""Master of Fashion Management""","""MFM"""
"""M.Com. B.Ed.-Master of Commerce, Bachelor of Education""","""M.Com. B.Ed.-Master of Commerce, Bachelor of Education""","""M.Com. B.Ed.""","""Master of Commerce, Bachelor of Education""","""MCom BEd"""
"""B.B.S.-Bachelor of Business Studies""","""B.B.S.-Bachelor of Business Studies""","""B.B.S.""","""Bachelor of Business Studies""","""BBS"""
"""B.Sc. L.L.B.-Bachelor of Science, Bachelor of Law or Laws""","""B.Sc. L.L.B.-Bachelor of Science, Bachelor of Law or Laws""","""B.Sc. L.L.B.""","""Bachelor of Science, Bachelor of Law or Laws""","""BSc LLB"""
"""M.Sc.[Medical Pharmacology]-Master of Science in Medical Pharmacology""","""M.Sc.[Medical Pharmacology]-Master of Science in Medical Pharmacology""","""M.Sc.[Medical Pharmacology]""","""Master of Science in Medical Pharmacology""","""MSc[Medical Pharmacology]"""
"""M.F.T. -Master of Foreign Trade""","""M.F.T. -Master of Foreign Trade""","""M.F.T. ""","""Master of Foreign Trade""","""MFT """
"""B.Nat.[Yogic Sciences]-Bachelor of Naturopathy and Yogic Sciences""","""B.Nat.[Yogic Sciences]-Bachelor of Naturopathy and Yogic Sciences""","""B.Nat.[Yogic Sciences]""","""Bachelor of Naturopathy and Yogic Sciences""","""BNat[Yogic Sciences]"""
"""M.H.M.S.-Master of Homeopathic Medicine and Science""","""M.H.M.S.-Master of Homeopathic Medicine and Science""","""M.H.M.S.""","""Master of Homeopathic Medicine and Science""","""MHMS"""
"""Hindi Shiksha Visharad-Hindi Shiksha Visharad""","""Hindi Shiksha Visharad-Hindi Shiksha Visharad""","""Hindi Shiksha Visharad""","""Hindi Shiksha Visharad""","""Hindi Shiksha Visharad"""
"""Integrated M.A.-Integrated Master of Arts""","""Integrated M.A.-Integrated Master of Arts""","""Integrated M.A.""","""Integrated Master of Arts""","""Integrated MA"""
