"""falna""","""falna"""
"""pokaran""","""pokaran"""
"""shorapur""","""shorapur"""
"""nagaur""","""nagaur"""
"""kekri""","""kekri"""
"""bijainagar""","""bijainagar"""
"""parbatsar""","""parbatsar"""
"""tehsil  pipar city""","""tehsil  pipar city"""
"""haveri""","""haveri"""
"""uniara""","""uniara"""
"""jodhpur""","""jodhpur"""
"""limda""","""limda"""
"""makrana""","""makrana"""
"""bhinmal""","""bhinmal"""
"""tonk""","""tonk"""
"""asada  balotra""","""asada  balotra"""
"""beawar""","""beawar"""
"""deoli""","""deoli"""
"""bilara""","""bilara"""
"""rani""","""rani"""
"""karwar""","""karwar"""
"""balotra""","""balotra"""
"""jalore""","""jalore"""
"""dharwad""","""dharwad"""
"""kuchamancity""","""kuchamancity"""
"""jaisalmer""","""jaisalmer"""
"""varur""","""varur"""
"""molasar""","""molasar"""
"""vidyawadi""","""vidyawadi"""
"""sanchore""","""sanchore"""
"""kolar""","""kolar"""
"""borunda""","""borunda"""
"""bhavnagar""","""bhavnagar"""
"""mundwa""","""mundwa"""
"""asind""","""asind"""
"""k r pet""","""k r pet"""
"""gotan""","""gotan"""
"""bantwal""","""bantwal"""
"""bhopalgarh""","""bhopalgarh"""
"""bagawas""","""bagawas"""
"""laxmeshwar""","""laxmeshwar"""
"""raniwara""","""raniwara"""
"""marwar junction""","""marwar junction"""
"""sojat city""","""sojat city"""
"""desuri""","""desuri"""
"""degana jn""","""degana jn"""
"""ramanagara""","""ramanagara"""
"""gulabpura""","""gulabpura"""
"""mandalgarh""","""mandalgarh"""
"""puttur""","""puttur"""
"""malpuratonk""","""malpuratonk"""
"""malpura""","""malpura"""
"""bijnor""","""bijnor"""
"""moradabad""","""moradabad"""
"""puranpur""","""puranpur"""
"""ujhani""","""ujhani"""
"""baheri""","""baheri"""
"""chandausi""","""chandausi"""
"""gajraula""","""gajraula"""
"""sambhal""","""sambhal"""
"""bareilly""","""bareilly"""
"""puraini""","""puraini"""
"""rampur""","""rampur"""
"""najibabd""","""najibabd"""
"""nehtaur""","""nehtaur"""
"""haldaur""","""haldaur"""
"""amroha""","""amroha"""
"""hasanpur""","""hasanpur"""
"""dhampur""","""dhampur"""
"""joya""","""joya"""
"""badaun""","""badaun"""
"""pilibhit""","""pilibhit"""
"""nagina""","""nagina"""
"""jyotiba phule nagar""","""jyotiba phule nagar"""
"""chandpur""","""chandpur"""
"""saidpur""","""saidpur"""
"""hosapete""","""hosapete"""
"""mandi dhanora""","""mandi dhanora"""
"""tilhar""","""tilhar"""
"""budaun""","""budaun"""
"""kachla""","""kachla"""
"""sherkot""","""sherkot"""
"""balrala""","""balrala"""
"""kiratpur""","""kiratpur"""
