,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
24,24,"Don Bosco College, Mumbai",Mumbai,Maharashtra,B.Sc Hotel Management and Catering Operations,3 years,Full time,,UG,,,The candidate should have passed in 10+2 or its equivalent from any recognized Board / University,"This is a three year fullt ime course Affiliated to University of Mumbai, Mumbai"
25,25,"RIMT University, Gobindgarh",Gobindgarh,Punjab,B.Sc Airlines and Airport Management,3 years,Full time,60.0,UG,2.13 lakhs,UGC,Students need to pass in 10+2 system of Senior Secondary examination or its equivalent with English as one of the subjects.,"Bachelor of Science in Airlines and Airport Management is full time three year course degree offered by RIMT University, Gobindgarh and approved by UGC."
26,26,"RIMT University, Gobindgarh",Gobindgarh,Punjab,B.Sc Hotel Management,3 years,Full time,60.0,UG,2.13 lakhs,UGC,Students need to pass in 10+2 system of Senior Secondary examination or its equivalent with English as one of the subjects.,"Bachelor of Science in Hotel Management is full time three year course degree offered by RIMT University, Gobindgarh and approved by UGC."
27,27,"RIMT University, Gobindgarh",Gobindgarh,Punjab,Diploma in Bakery and Confectionary,1.5 years,Full time,,Diploma,18 lakhs,UGC,Passed 10+2 or equivalent with English as one of the subjects,"Diploma in Bakery and Confectionary is full time one and half year course degree offered by RIMT University, Gobindgarh and approved by UGC."
28,28,"RIMT University, Gobindgarh",Gobindgarh,Punjab,Diploma in Food Production,1.5 years,Full time,18.0,Diploma,,UGC,Passed 10+2 or equivalent with English as one of the subjects,"Diploma in Food Production is full time one and half year course degree offered by RIMT University, Gobindgarh and approved by UGC."
29,29,"RIMT University, Gobindgarh",Gobindgarh,Punjab,Diploma in Food and Beverage Service,1.5 years,Full time,18.0,Diploma,,UGC,Passed 10+2 or equivalent with English as one of the subjects,"Diploma in Food and Beverage Service is full time one and half year course degree offered by RIMT University, Gobindgarh and approved by UGC."
30,30,"RIMT University, Gobindgarh",Gobindgarh,Punjab,Diploma in Front Office,1.5 years,Full time,18.0,Diploma,,UGC,Passed 10+2 or equivalent with English as one of the subjects,"Diploma in Front Office is full time one and half year course degree offered by RIMT University, Gobindgarh and approved by UGC."
31,31,"RIMT University, Gobindgarh",Gobindgarh,Punjab,Diploma in House Keeping,1.5 years,Full time,18.0,Diploma,,UGC,Passed 10+2 or equivalent with English as one of the subjects,"Diploma in House Keeping is full time one and half year course degree offered by RIMT University, Gobindgarh and approved by UGC."
32,32,"RIMT University, Gobindgarh",Gobindgarh,Punjab,MBA Hospital Management,2 years,Full time,,PG,2.8 lakhs,UGC,The candidate should have passed in the relevant graduate degree in any recognized university.,"Master of Business Administration in Hospital Management is full time two year course degree offered by RIMT University, Gobindgarh and approved by UGC."
33,33,"RIMT University, Gobindgarh",Gobindgarh,Punjab,PG Diploma Hospital Management,1 year,Full time,,Diploma,1.4 lakhs,UGC,The candidate should have passed in Bachelor of Pharmacy of any recognized university.,"Post Graduate Diploma in Hospital Management is full time one year course degree offered by RIMT University, Gobindgarh and approved by UGC."
34,34,"Sri Sai College of Engineering and Technology, Pathankot",Bungal,Punjab,HMCT,4 years,Full time,60.0,UG,,NCHMCT,"The candidate should have passed Class 12th of CBSE or any other equivalent board.
He/She must have secured a minimum of 50% marks in aggregate. The aggregate will be calculated as the aggregate of best of four subjects including one language and compulsory subject","Hotel Management and Catering Technology is a full-time four years duration course Affiliated to IK Gujral Punjab Technical University, Jalandhar Approved by NCHMCT."
